referred            refered
operator            opertor
occurred            occured
drastically         drasticly
inoculate           innoculate
britain             britian
appointments        apointments
exaggerate          exagerate
presumptuous        presumptous
written             writen
amiable             aimeable
disappoint          disapoint
apologised          appologised
curriculum          curicculum
receives            recieves
acquiescence        acquiesence
orchestra           ochestra
accompanying        accompaning
murmurs             murmers
conceive            concieve
incessant           incesant
february            febuary
kapok               kapock
alumni              alumnae
playwright          playwrite
library             libary
immediately         imediatly
nadir               nadar
accommodations      accomodations
necessarily         necessarially
successful          sucessful
adjourned           adjorned
there               thear
dissension          desention
laboratory          labratory
minutes             muinutes
grateful            greatful
necessary           nessasary
innocuous           inocuous
grill               grille
receipts            reciepts
medicine            medecine
until               untill
beam                beame
exorbitant          exhorbitant
fulfill             fullfil
prejudice           predudice
quorum              quorem
accelerate          acellerate
opportunity         opertunity
edition             ediition
apology             appology
villain             villian
precipice           presipice
applied             upplied
drunkenness         drunkeness
usually             usualy
mustnt              musnt
handle              handel
prairie             prarie
friend              freind
colossus            collosus
continually         contually
balloon             baloon
temporarily         temporarly
analogous           analagous
employees           emploies
transportability    transportibility
financial           finatical
niagara             niagra
undoubtedly         undoubtably
possibilities       possiblities
pharaohs            pharoahs
dilapidated         dilapadated
poisonous           poisenous
immensely           immencely
peculiar            pecular
specimen            speciman
unmistakable        unmistakeable
beneficial          benificial
dormitory           dormatory
definition          defenition
penance             pennance
regretted           regreted
phase               fase
aghast              agast
delinquent          delinquint
quarantine          quarrantine
reaching            reching
accidentally        accidently
intercede           intersede
annoyance           anoyance
searching           serching
navigating          navagating
hindrance           hinderance
technique           tecnique
choice              choise
appearance          appearence
asleep              asleeep
prejudice           predjudice
means               meens
visitors            vistors
harass              harrass
monitoring          monitering
separate            seporate
erroneous           errounous
wagging             waggin
bitch               bich
accounts            acounts
again               agiin
arguing             aurguing
definitions         defenitions
britannia           britania
discipline          disiplin
adequately          adequattly
appetite            appitite
deem                deam
rating              rateing
eisenhower          eisenhhower
permanent           perminant
suited              suted
favourable          faverable
dictionary          dictionery
technically         technecally
recommended         reccommended
develop             devellope
especially          especaily
any                 anye
rebuttal            rebutal
initial             intial
comparatively       comparitively
disaggregate        disaggreagte
invariably          invarably
rhapsody            raphsody
mathematics         mathamatics
necessary           neccesary
forbidden           forbiden
required            reequired
partially           partialy
considering         consderin
announcing          anouncing
during              durin
embarrassment       embarrasment
inefficient         ineffiect
recommended         reccomended
ideally             idealy
geographically      goegraphicaly
unequalled          unequaled
comparative         comparitive
transactions        trasactions
really              realy
receive             recieve
conditions          condicions
organization        oragnisation
arranged            aranged
pamphlet            pamphalet
weight              weigth
picnicking          picnicing
paralysis           parallysis
many                mony
develop             develope
buying              buyin
language            langauge
foreign             forien
receipt             reciept
usually             usualy
perseverance        perserverance
stationary          stationery
violin              vioiln
effeminate          affeminate
temperament         temperment
received            recieved
used                usedf
scrutinized         scrutiniesed
surroundings        seroundings
provisions          provisons
pseudonym           pseudynom
approached          aproached
seen                seeen
itemized            itimized
specifically        specificly
labeled             labelled
ability             ablity
encyclopedia        enclyclopedia
peasant             peasent
identified          indentified
although            athough
experience          experiance
accessible          accesible
occasion            ocassion
propeller           propellor
abhorrence          abhorence
lodgment            lodgement
supervision         supervison
pleasant            plesent
contemptible        contempible
fundamentally       fundementally
accepted            acepted
eyeing              eying
description         discription
preference          preferance
therefore           therefoe
liquefied           liquified
mattress            mattres
voucher             vouture
management          managment
agencies            agences
quiescent           quiscent
interfered          interferred
representatives     representitives
sacrament           sacrement
originally          origionally
clerical            clearical
momentous           momentus
categories          catagoris
occasionally        ocasionaly
definitely          definately
sufficient          suficient
titles              tittles
building            biulding
decisions           deciscions
zealous             zelous
explaining          explaning
corporate           corparate
lieu                liew
employment          empolyment
flexible            flexable
were                where
impresario          impressario
commitment          committment
committees          comittees
compendium          conpendium
encompassing        encompasing
competent           compitent
examination         examiantion
will                wil
hierarchal          hierachial
interpretation      interpritation
easily              easly
voluntary           volantry
surprise            suprise
announcement        anouncement
confirmation        confermation
subsequent          subsequant
who                 whoe
merchantmen         merchantment
ammonia             amonia
cancellation        cancelation
choices             choises
hemorrhage          hemorrage
tobogganing         tobboganing
necessary           necasery
persuaded           pursuaded
union               unioun
appropriate         apropriate
subsequent          subsiquent
diphtheria          diptheria
imitation           immitation
months              monthes
tacit               tasit
minutes             muiuets
available           avaliable
embarrass           embarass
drawing             drawin
decided             descided
withhold            withold
assassinate         assasinate
successive          sucessive
tendency            tendancy
representative      representitive
techniques          tecniques
interest            intrest
receded             receeded
strenuous           streneous
variable            vaiable
supplement          supliment
seize               sieze
government          goverment
opportunities       oppurtunities
cancellation        cancelation
preserved           perserved
showing             showin
consist             consisit
government          goverment
arrangement         arrangment
guarantee           gaurantee
resolved            resoved
disappoint          dissappoint
which               whitch
opinion             oppinion
questionnaire       questionaire
voluntary           volantary
responsible         responcible
description         discription
systematically      systemetically
exaggeration        exageration
controversy         controvercy
oppressor           oppresser
obtaining           optaning
adaptable           adabtable
prevalent           prevelant
sacrilegious        sacreligious
pamphlet            phamplet
undoubtedly         undoubtly
relatively          relativly
exponentially       exponentualy
years               yesars
decision            descision
permissible         permisable
magnificent         magnigicient
projects            projeccts
shown               hown
particular          paerticulaur
provide             provid
ninetieth           nintieth
absorbent           absorbant
executed            executted
discrete            discite
annoyance           annoiance
position            possition
singular            singulaur
levels              levals
comments            coments
unequaled           unequalled
physician           physcian
particular          particulaur
accessibility       accessability
privilege           priviledge
described           describd
liquefy             liquify
available           availble
jeopardize          jeprodise
remembrance         rememberance
profits             proffits
endorsement         endorsment
encyclopedia        encylopedia
enlarged            enlargd
safety              safty
arrangement         arragment
manually            manualy
awkward             aukward
explicitly          explisitly
exact               exsact
nocturnal           nocternal
persuasion          persausion
sabbath             sabath
irreparable         irrepairable
supplements         suplements
financially         financialy
pursuer             persuer
supersede           supercede
millionaire         millionnaire
gaining             ganing
guttural            gutteral
recommend           recomend
generated           generataed
between             beeteen
divine              devine
oratorio            orotario
similar             similiar
sailor              sailer
fails               failes
recommendation      recomendation
material            materiel
silk                silke
belligerent         beligerant
recommending        reccomending
victuals            vituals
gone                gonne
amiable             aimiable
doctors             docters
surrounded          surounded
suggests            sugests
miniature           minature
accrued             accrude
mortgage            morgage
before              beefore
meant               ment
sense               sence
sorority            sarrority
preferred           prefered
perspiration        persperation
unique              uneque
difficulty          dificulty
indefinite          indefinate
license             lisence
auguments           aurgument
filipinos           philipinoes
suggestion          sugestion
experience          experiance
probably            probabley
jackknife           jacknife
lieutenant          leutenant
permanently         perminantly
assiduous           assidious
interrupted         interupted
atmosphere          atmospher
thinking            thinkin
vertical            verticle
physician           physican
lonely              lonley
to                  ro
kaleidoscope        kaleidescope
denying             denyin
benefit             benifit
analysis            analsis
possession          posession
chemistry           chemestry
anniversary         aniversary
simultaneous        similtanous
pamphlets           phamplets
controllable        controlable
incredible          incredable
sources             sorces
indeed              indead
functions           functuions
utterance           utterence
gramophone          grammophon
these               thess
participle          participal
committee           committe
continued           contuned
think               thinke
receiving           recieving
beneficial          benificial
inconvenience       inconvience
earlier             earlyer
instead             insted
career              carrer
sensible            sensable
straitjacket        straightjacket
forthright          fortright
recommended         recommend
ninetyninth         nintynineth
buoyancy            bouyancy
penguins            pengiuns
patterns            pattarns
exquisite           exqusite
spear               speer
syllables           sylables
investigated        investegated
these               thees
suffrage            sufferage
base                basse
parameters          perametres
segment             egment
beginning           begining
management          managment
summarys            sumarys
false               faulse
terrors             terrours
accrued             acrued
opportunity         oppertunity
primarily           pimarily
mutilate            mutalate
buried              burried
superficial         superfical
different           diffrent
acquiesce           aquiese
shoulders           sholders
leveled             levelled
families            familys
academically        academicly
the                 thi
relevant            relevaant
occasionally        occassionally
consumer            comsumer
compare             compair
applying            applieing
various             vairious
recommendation      reccommendation
committees          commitees
doubt               doubte
journalism          journaism
idiosyncrasy        idiocyncracy
pittsburgh          pittsburg
addressable         addresable
actually            actualy
yacht               yaht
tranquillity        tranquility
public              publick
understandable      understadable
rescinded           resinded
fielder             fiedler
flourished          florished
running             runing
available           avaible
conditioning        conditining
renegade            renagade
frescos             frescoes
output              oputput
personnel           personel
hurricane           huricane
terrestrial         terestial
various             vairous
jealousy            jelousy
jaguar              jagaur
desirable           disiable
tragedy             tradgedy
within              withing
surveys             servays
engineers           egnineers
suffering           suufering
retirement          retirment
rummage             rumage
successful          sucssuful
refered             reffered
possible            possable
brake               brakke
parallel            parellel
jaundice            jaundise
gnawing             knawing
niggardly           nigardly
fighting            fieghting
research            reserch
perforation         preforation
stopped             stoped
obdurate            obdirate
before              befor
build               biuld
advantageous        advantageos
separate            seperate
khaki               kahki
reservoir           resevoir
necessary           necassery
vilify              villify
suppress            supress
utilized            utalised
advantageous        advantagous
graphically         graphicaly
naturally           naturaly
speaking            speeking
necessary           nessisary
lodestone           loadstone
relevant            revelent
addition            additon
eliminate           elliminate
vitamins            vitamines
umbrella            umberalla
someone             somone
bachelor            batchelor
disappointment      dissappointment
forty               fourty
acquaintance        acquantance
segment             segemnt
necessary           neccasary
progression         progresion
violence            violance
profit              proffit
swearing            swearinge
described           discribed
inconceivable       inconcievable
quandary            quandry
wednesday           wedensday
worshiping          worshipping
length              lengh
esteemed            estimed
articles            articals
eventually          eventully
are                 arte
dealt               delt
statue              statu
coalesced           coalesed
conceived           concieved
hammarskjold        hammerskjold
catalogues          catologues
misleading          missleading
university          unversity
adjacent            ajacent
ordinarily          ordinarilly
tranquility         tranquillity
hygiene             hygeine
certain             cirtain
pastor              paster
effervescent        effervesent
moccasins           mocassins
mathematics         mathmatics
opportunities       oppotunities
ridiculous          rediculous
decisions           descisions
yeoman              yoman
self                selfe
analysed            analised
commanded           commaunded
commission          commision
preparation         preperation
shoulder            shouldda
miscellaneous       miscelaneous
february            febuary
variable            varable
vice                vise
thermawear          thermawere
grabbing            grabbin
widely              widly
phenomenon          phenonenon
would               whould
familiar            familer
recommendations     reccomendations
declarations        declaratrions
yacht               yahct
adequate            adiquate
receiver            reciever
adjournment         adjurnment
challenge           chalange
yearned             yerned
acquire             aquire
fourth              forth
particularly        particulary
communicate         comunicate
annoying            anoying
rendezvous          rendevous
allotted            alloted
favourably          favorably
readjusted          reajusted
chimneys            chimnies
unnecessarily       unessasarily
opposition          oposition
having              haveing
compared            compased
handkerchief        hankerchief
appreciated         apreciated
sergeant            sergant
surreptitious       sureptitous
pastime             pasttime
cemetery            cemetary
absence             absense
responsibility      responsiblity
perhaps             perhapse
counting            countin
triangular          triangulaur
humbly              humly
data                dat
depreciation        depeciation
curiosity           curiousity
attorneys           attornies
meant               ment
completely          completly
responsibilities    responsiblities
perceive            percieve
achievement         acheivement
organization        oranisation
generosity          generousity
consists            consisits
receptacle          receptacel
pamphlets           pamplets
recommend           reccommend
pertaining          pertaning
brief               brif
the                 hte
exhilarating        exhilirating
arranged            arrainged
inevitable          inevitible
through             throut
applicable          aplicable
temporary           temperary
surroundings        suroundings
independent         independant
corrugated          corrigated
thermawear          thermawhere
disastrous          disasterous
supplement          suplement
sell                selle
vacillate           vaccilate
fatiguing           fatiging
radiant             radient
livelihood          livelyhood
until               untill
traditionally       traditionaly
indictment          inditement
dragged             draged
opportunity         oppotunity
humour              humor
insistence          insistance
fascinating         facinating
cincinnati          cincinatti
procedure           proceedure
criticism           citisum
facilities          facilitys
valuable            valubale
dependant           dependent
between             beetween
the                 thw
figure              figuar
kindergarten        kindergarden
source              sorce
truculent           trucculent
embellishing        embelishing
maintenance         maintainance
tying               tieing
decide              descide
starting            startin
committee           commitee
transferable        transferrable
analyse             analiss
consistent          consistant
could               coud
